Time,EC,Temperature,Real,Imaginary
2026-07-16 14:34:23.079903126,13904.367651667866,23.75409241444804,32108.0,-11057.0
2026-07-16 14:34:23.200968504,13953.287704830433,23.754154664697413,32107.0,-11056.0
2026-07-16 14:34:23.322033882,13953.967838794124,23.75421050981254,32106.0,-11056.0
2026-07-16 14:34:23.443099260,13950.672528692616,23.754754851468935,32106.0,-11056.0
2026-07-16 14:34:23.564164639,13949.312640714355,23.75527557084309,32106.0,-11055.0
2026-07-16 14:34:23.685230017,13952.607593958506,23.755270331310584,32106.0,-11055.0
2026-07-16 14:34:23.806295395,13926.844248822435,23.755265615596585,32106.0,-11056.0
2026-07-16 14:34:23.927360773,13930.13962071633,23.754807548199967,32106.0,-11056.0
2026-07-16 14:34:24.048426151,13998.874215442354,23.75574084619569,32106.0,-11055.0
2026-07-16 14:34:24.169491529,13979.04443856269,23.755711861848564,32106.0,-11055.0
2026-07-16 14:34:24.290556908,13975.067365523604,23.75615009964796,32105.0,-11055.0
2026-07-16 14:34:24.411622286,13975.067365523604,23.756568488838266,32105.0,-11055.0
2026-07-16 14:34:24.532687664,13947.952845067332,23.75696678603316,32104.0,-11055.0
2026-07-16 14:34:24.653753042,13947.272981868433,23.757345013224132,32103.0,-11055.0
2026-07-16 14:34:24.774818420,13927.423758527122,23.756773989100143,32103.0,-11055.0
2026-07-16 14:34:24.895883799,13950.5673998987,23.75669413874944,32103.0,-11055.0
2026-07-16 14:34:25.016949177,13977.00037882452,23.756621204553028,32102.0,-11055.0
2026-07-16 14:34:25.138014555,13920.167693092002,23.756992802140196,32102.0,-11055.0
2026-07-16 14:34:25.259079932,13926.065965784546,23.75646961189396,32101.0,-11055.0
2026-07-16 14:34:25.380145311,13945.913324718867,23.756856371239447,32101.0,-11055.0
2026-07-16 14:34:25.501210689,13945.913324718867,23.757225362041257,32101.0,-11054.0
2026-07-16 14:34:25.622276068,13945.913324718867,23.757576582037466,32100.0,-11055.0
2026-07-16 14:34:25.743341446,13921.414318470508,23.75746341521219,32099.0,-11054.0
2026-07-16 14:34:25.864406824,14020.51390156495,23.75822445598513,32099.0,-11054.0
2026-07-16 14:34:25.985472202,13971.661722977027,23.758533047434664,32099.0,-11055.0
2026-07-16 14:34:26.106537580,13993.416408289557,23.7592746889111,32098.0,-11054.0
2026-07-16 14:34:26.227602959,13921.414318470508,23.75907138705193,32098.0,-11054.0
2026-07-16 14:34:26.348668337,14020.51390156495,23.759800267319186,32098.0,-11054.0
2026-07-16 14:34:26.469733715,13896.913844526933,23.759091073116515,32097.0,-11054.0
2026-07-16 14:34:26.590799093,13965.635385006475,23.759871357461357,32096.0,-11053.0
2026-07-16 14:34:26.711864471,13966.316195721813,23.760637184054268,32096.0,-11054.0
2026-07-16 14:34:26.832929850,13969.618614973762,23.760859123543035,32096.0,-11054.0
2026-07-16 14:34:26.953995228,13917.453715558517,23.76106253067921,32097.0,-11054.0
2026-07-16 14:34:27.075060606,13919.378474902514,23.76075622592641,32096.0,-11053.0
2026-07-16 14:34:27.196125984,13892.954514361434,23.760470590589023,32096.0,-11053.0
2026-07-16 14:34:27.317191362,13968.25665860884,23.760680977858843,32095.0,-11053.0
2026-07-16 14:34:27.438256741,13892.277234104768,23.760410752419126,32095.0,-11052.0
2026-07-16 14:34:27.559322119,13995.355346001985,23.760615731896007,32095.0,-11052.0
2026-07-16 14:34:27.680387497,13892.277234104768,23.760358656410357,32094.0,-11052.0
2026-07-16 14:34:27.801452875,13914.74010666319,23.76055870909872,32094.0,-11052.0
2026-07-16 14:34:27.922518253,13986.211557789711,23.761601602973094,32093.0,-11052.0
2026-07-16 14:34:28.043583632,13941.834907273951,23.76175288387793,32094.0,-11052.0
2026-07-16 14:34:28.164649010,13945.127898499755,23.76143653376103,32094.0,-11052.0
2026-07-16 14:34:28.285714388,13988.64204299436,23.76204173423728,32093.0,-11051.0
2026-07-16 14:34:28.406779766,13941.155251826083,23.76216953329331,32093.0,-11051.0
2026-07-16 14:34:28.527845144,13943.768254084776,23.761838093348345,32093.0,-11052.0
2026-07-16 14:34:28.648910522,13962.91237332188,23.76241729663356,32093.0,-11051.0
2026-07-16 14:34:28.769975901,13966.894794754397,23.76252525424365,32092.0,-11052.0
2026-07-16 14:34:28.891041279,13961.5510061885,23.76306691823463,32091.0,-11052.0
2026-07-16 14:34:29.012106419,13839.88557678516,23.762238834503123,32091.0,-11051.0
2026-07-16 14:34:29.133171797,13892.17196268956,23.761408551207072,32090.0,-11052.0
2026-07-16 14:34:29.254237174,13941.72896066882,23.761081423024013,32090.0,-11051.0
2026-07-16 14:34:29.375302553,13867.101622225968,23.76028610237906,32091.0,-11051.0
2026-07-16 14:34:29.496367931,13939.116423988497,23.760520326963785,32090.0,-11051.0
2026-07-16 14:34:29.617433310,13964.171344582686,23.76073614174001,32090.0,-11050.0
2026-07-16 14:34:29.738498688,13910.67038453325,23.76093529584569,32089.0,-11049.0
2026-07-16 14:34:29.859564066,13938.436860877538,23.761119358853723,32089.0,-11050.0
2026-07-16 14:34:29.980629444,13911.348613952705,23.761289738157704,32089.0,-11050.0
2026-07-16 14:34:30.101694822,14013.680621283702,23.761892735891205,32089.0,-11050.0
2026-07-16 14:34:30.222760201,13967.464186685893,23.761568384151698,32089.0,-11050.0
2026-07-16 14:34:30.343825579,13939.689875101503,23.761262149233485,32088.0,-11050.0
2026-07-16 14:34:30.464890957,13989.897959237944,23.761423042230817,32088.0,-11050.0
2026-07-16 14:34:30.585956335,13914.628979996784,23.761134298472506,32088.0,-11050.0
2026-07-16 14:34:30.707021713,13959.509128876573,23.761729690195835,32088.0,-11049.0
2026-07-16 14:34:30.828087091,13936.39831005322,23.76186766543827,32087.0,-11050.0
2026-07-16 14:34:30.949152470,13936.39831005322,23.761995388116883,32087.0,-11050.0
2026-07-16 14:34:31.070217848,13959.509128876573,23.762536238382147,32087.0,-11050.0
2026-07-16 14:34:31.191283226,13887.536916485136,23.76219938305921,32087.0,-11050.0
2026-07-16 14:34:31.312348604,13962.128999801966,23.76231145042751,32086.0,-11049.0
2026-07-16 14:34:31.433413982,13938.330600197109,23.76199514442962,32086.0,-11048.0
2026-07-16 14:34:31.554479361,13958.147992929134,23.76253205216176,32086.0,-11049.0
2026-07-16 14:34:31.675544739,13937.650997387402,23.762197736971665,32085.0,-11049.0
2026-07-16 14:34:31.796610117,13932.429936559942,23.76273907905318,32086.0,-11048.0
2026-07-16 14:34:31.917675495,13935.718839281964,23.76282803922697,32086.0,-11048.0
2026-07-16 14:34:32.038740873,13957.467459633555,23.763335773228302,32085.0,-11048.0
2026-07-16 14:34:32.159806252,13907.95769726534,23.763396205946552,32085.0,-11048.0
2026-07-16 14:34:32.280871630,13938.330600197109,23.763032607571443,32085.0,-11048.0
2026-07-16 14:34:32.401937008,13934.359966993452,23.76310458595191,32084.0,-11049.0
2026-07-16 14:34:32.523002386,13936.97141767288,23.76276398052657,32084.0,-11048.0
2026-07-16 14:34:32.644067764,13931.071420911456,23.76325420203037,32084.0,-11048.0
2026-07-16 14:34:32.765133142,13959.406197231092,23.7633159515672,32083.0,-11048.0
2026-07-16 14:34:32.886198521,13930.392197700045,23.763777044013697,32084.0,-11047.0
2026-07-16 14:34:33.007263899,13933.680565477378,23.763815161506272,32084.0,-11047.0
2026-07-16 14:34:33.128329276,13906.60149188086,23.76385028042811,32083.0,-11047.0
2026-07-16 14:34:33.249394655,13909.202368864086,23.763499285156257,32083.0,-11047.0
2026-07-16 14:34:33.370460033,13960.767552258048,23.76354645849857,32084.0,-11047.0
2026-07-16 14:34:33.491525412,13933.0011870469,23.76359022421462,32082.0,-11047.0
2026-07-16 14:34:33.612590790,13979.778375681668,23.763994007403063,32081.0,-11046.0
2026-07-16 14:34:33.733656168,13950.965128532229,23.764755585084096,32081.0,-11047.0
2026-07-16 14:34:33.854721546,13954.745557643711,23.765150553418145,32081.0,-11048.0
2026-07-16 14:34:33.975786924,13950.965128532229,23.765930025540836,32080.0,-11048.0
2026-07-16 14:34:34.096852303,13955.425998462371,23.76630231629099,32081.0,-11048.0
2026-07-16 14:34:34.217917681,13955.425998462371,23.766658875036853,32081.0,-11047.0
2026-07-16 14:34:34.338983059,13980.460057266057,23.766999539911662,32080.0,-11047.0
2026-07-16 14:34:34.460048437,13976.668423029265,23.767746964781416,32080.0,-11047.0
2026-07-16 14:34:34.581113815,13930.963190267968,23.767598907223935,32080.0,-11048.0
2026-07-16 14:34:34.702179193,13928.35466651952,23.7679024180986,32081.0,-11047.0
2026-07-16 14:34:34.823244572,13879.406280368275,23.767752381958967,32080.0,-11047.0
2026-07-16 14:34:34.944309950,13926.317343022023,23.768039080403497,32079.0,-11046.0
2026-07-16 14:34:35.065375328,13922.422407312468,23.768725441996683,32078.0,-11045.0
2026-07-16 14:34:35.186440706,13905.245378662454,23.76853527743453,32079.0,-11046.0
2026-07-16 14:34:35.307506084,13973.183296988784,23.76965647594643,32078.0,-11047.0
2026-07-16 14:34:35.428571463,13926.996427778997,23.769880212913822,32078.0,-11046.0
2026-07-16 14:34:35.549636841,13923.780204522149,23.77054182312437,32078.0,-11046.0
2026-07-16 14:34:35.670702219,13907.167770039176,23.76976744028705,32078.0,-11047.0
2026-07-16 14:34:35.791767597,13926.317343022023,23.76999559880814,32078.0,-11046.0
2026-07-16 14:34:35.912832975,13907.167770039176,23.7692394025688,32079.0,-11045.0
2026-07-16 14:34:36.033898354,13903.2113816515,23.768997153183783,32078.0,-11045.0
2026-07-16 14:34:36.154963732,13900.488121326402,23.769261421780968,32078.0,-11045.0
2026-07-16 14:34:36.276029110,13906.489616534378,23.768550247341608,32078.0,-11045.0
2026-07-16 14:34:36.397094488,13873.537968783849,23.76884061300648,32078.0,-11045.0
2026-07-16 14:34:36.518159865,13902.533428731727,23.768626440846777,32078.0,-11045.0
2026-07-16 14:34:36.639225245,13900.488121326402,23.76890063748857,32078.0,-11044.0
2026-07-16 14:34:36.760290623,13955.322687254346,23.768692288067417,32078.0,-11044.0
2026-07-16 14:34:36.881356001,13924.959242737968,23.768952734682436,32077.0,-11044.0
2026-07-16 14:34:37.002421379,13979.0967172602,23.76919701271185,32077.0,-11045.0
2026-07-16 14:34:37.123486757,13928.925401261356,23.768985772792043,32077.0,-11044.0
2026-07-16 14:34:37.244552135,13924.959242737968,23.76922026985116,32077.0,-11043.0
2026-07-16 14:34:37.365617514,13931.535611393185,23.768588754367368,32077.0,-11044.0
2026-07-16 14:34:37.486682892,13925.638281341731,23.76884697907068,32077.0,-11044.0
2026-07-16 14:34:37.607748270,13928.246184432048,23.76865390873852,32077.0,-11043.0
2026-07-16 14:34:37.728813648,13924.959242737968,23.768900720036378,32077.0,-11044.0
2026-07-16 14:34:37.849879026,13952.024025567584,23.769133597063703,32077.0,-11044.0
2026-07-16 14:34:37.970944405,13902.533428731727,23.76893642893149,32077.0,-11044.0
2026-07-16 14:34:38.092009783,13924.959242737968,23.769160997571976,32077.0,-11044.0
2026-07-16 14:34:38.213075161,13905.811486081924,23.768562944385145,32077.0,-11044.0
2026-07-16 14:34:38.334140539,13901.17759202124,23.76838916519821,32076.0,-11044.0
2026-07-16 14:34:38.455205917,13977.051880979448,23.76863895468689,32075.0,-11045.0
2026-07-16 14:34:38.576271296,13901.17759202124,23.768466905705296,32075.0,-11044.0
2026-07-16 14:34:38.697336674,13927.56699068867,23.768305326511687,32076.0,-11043.0
2026-07-16 14:34:38.818402052,13946.884181961534,23.76893271644732,32076.0,-11043.0
2026-07-16 14:34:38.939467430,13924.280227210018,23.76915866314689,32076.0,-11043.0
2026-07-16 14:34:39.060532570,13927.56699068867,23.768964940600444,32076.0,-11043.0
2026-07-16 14:34:39.181597948,13900.499708229494,23.768782392617798,32075.0,-11044.0
2026-07-16 14:34:39.302663326,13953.281244519478,23.768610338399785,32075.0,-11044.0
2026-07-16 14:34:39.423728704,13927.56699068867,23.768448127224637,32075.0,-11044.0
2026-07-16 14:34:39.544794083,13900.499708229494,23.76829514033488,32074.0,-11045.0
2026-07-16 14:34:39.665859461,13949.302863411289,23.768526188638525,32074.0,-11044.0
2026-07-16 14:34:39.786924839,13971.898557353528,23.76911292419316,32074.0,-11043.0
2026-07-16 14:34:39.907990217,13873.99282733676,23.768928548409264,32074.0,-11044.0
2026-07-16 14:34:40.029055595,13969.777027921866,23.76991264757072,32074.0,-11044.0
2026-07-16 14:34:40.150120974,13971.217240584192,23.77051691065684,32073.0,-11044.0
2026-07-16 14:34:40.271186352,13949.302863411289,23.770684120537755,32074.0,-11043.0
2026-07-16 14:34:40.392251730,13971.898557353528,23.771259263242623,32074.0,-11043.0
2026-07-16 14:34:40.513317107,13995.463996713224,23.77227488542644,32074.0,-11042.0
2026-07-16 14:34:40.634382486,13971.217240584192,23.77283382463281,32073.0,-11042.0
2026-07-16 14:34:40.755447865,13922.243319086469,23.772899723253317,32073.0,-11043.0
2026-07-16 14:34:40.876513243,13897.099340558789,23.7729596839268,32073.0,-11043.0
2026-07-16 14:34:40.997578621,13971.217240584192,23.77344989669148,32073.0,-11042.0
